Braess_1_4200_10_c1_k3_a0.8_d0.9;Braess_1_4200_10_c1_k3_a0.9_d0.9;Braess_1_4200_10_c1_k3_a0.8_d0.99;Braess_1_4200_10_c1_k3_a0.9_d0.99
15.5586722789;15.5563754535;15.5609745843;15.5590787604
15.5517471088;15.5603145124;15.5563088057;15.5615236206
15.5473460884;15.5604844293;15.5623133598;15.5576856198
15.7703962018;15.7654884921;15.5733542895;15.5680475057
16.050573904;16.1403751323;15.5894509259;15.599460771
15.826509127;16.5682724112;15.6257522298;15.6336298564
15.9318263227;16.0134437264;15.6357557445;15.6656954081
16.3244913832;16.816204743;15.6315941799;15.6897768141
16.9308317082;16.5620859788;15.6735550075;15.7183677626
17.3898541005;17.2729197468;15.6878620937;15.7527124527
16.1910772676;17.1570933862;15.7276496032;15.7721123961
17.3456371504;17.7732596372;15.7647686697;15.8107754157
17.2970402494;16.5153955215;15.7995164777;15.8402256992
17.0881432351;17.5414139645;15.8325995087;15.8554986583
16.0786436886;17.0800071428;15.8715710128;15.8828796485
16.1331182351;16.8220437075;15.9019856198;15.9075352608
16.5013966553;16.57490274;15.9193250189;15.9332790249
16.6873790627;16.1951143235;15.967459486;15.963890514
16.3221858465;16.0760334278;15.9842616024;15.9945420635
16.3149084656;16.1911767196;16.0138643235;16.0220396069
16.5435714097;16.1366426493;16.0338310469;16.0227230915
16.3210203326;16.2909235072;16.0543493008;16.0550043651
16.1898566704;16.2783005291;16.0918906274;16.0845096372
16.0414917611;16.3972581444;16.1142773809;16.1128033258
15.9446665911;16.4611574452;16.1319737528;16.1394899471
15.8552787793;16.1923115268;16.158210223;16.1576488284
15.8296867725;16.1084619803;16.1832786281;16.173484486
15.8828681595;16.3305462018;16.2002838435;16.2036856576
15.8861641345;16.06388887;16.23025548;16.2188904951
15.9735555744;15.7468161565;16.2625480159;16.2650186886
15.8012208428;15.8643516251;16.2939170257;16.2912098828
16.0459200113;16.0185201436;16.3128254724;16.3147777211
15.7653715986;15.7402996032;16.3357972411;16.3422665155
15.8356394558;15.808781935;16.3449531746;16.3535712207
15.852903099;15.8762443878;16.3837952381;16.3833207105
15.6172150227;15.8672071806;16.3965914021;16.4191465041
15.6846163454;15.7917196523;16.4323523432;16.4436000945
15.685993254;15.8456316326;16.4609352608;16.4546409108
15.8155088813;15.7716607143;16.485687037;16.478161489
15.6844013605;15.8320608465;16.5192489229;16.501047449
15.6788338057;15.7420928949;16.5346028345;16.5243035147
15.7432436319;15.7475216175;16.5459488284;16.5532686319
15.6181442555;15.7607005669;16.598951455;16.583883031
15.6262556122;15.7944480348;16.608482294;16.607004932
15.62985274;15.8539369425;16.6270787982;16.6284086546
15.6354031746;15.7248988662;16.6606247543;16.6522431784
15.6402280801;15.728154932;16.6861164399;16.6910753023
15.6448797808;15.730074263;16.7054162509;16.7014023809
15.6454683862;15.7368945578;16.7249837868;16.7195389833
15.6496985639;15.7673095049;16.7578325019;16.7606138322
15.6524947279;15.8435438397;16.7826626984;16.784436489
15.6553316137;15.7536848072;16.8124914588;16.7997557256
15.6564975434;15.8040200302;16.8317935563;16.8389020597
15.6587555745;15.6580826531;16.842949263;16.8571678004
15.6601119614;15.6600999244;16.8664581444;16.879039777
15.662783938;15.6599896636;16.9128681406;16.8957809902
15.6640518707;15.6619051209;16.9208426304;16.9287107143
15.6653215608;15.6621665344;16.9513619614;16.9395965797
15.6663613001;15.6626566704;16.9706324641;16.9702424036
15.6701204648;15.6637344104;16.977461848;16.9998273998
15.6696223923;15.6651688964;17.0116793651;17.0177950491
15.6709256803;15.6662143235;17.051933031;17.0467248677
15.6715232615;15.6659732804;17.0666651171;17.0640086357
15.6719319917;15.666363511;17.0838268518;17.0720553477
15.6722910053;15.6667837301;17.1034253023;17.1064832199
15.6733880385;15.6672134921;17.1344228269;17.1478491874
15.67341935;15.6681397014;17.1567360922;17.1522365646
15.6742834845;15.6700676493;17.1803362812;17.1792279856
15.6746608466;15.6692130196;17.1963732804;17.1880484505
15.6749794029;15.6683566515;17.2309230536;17.2334970521
15.675691421;15.6686218443;17.2478089191;17.2274557823
15.6756742441;15.6687276833;17.2561960317;17.2705101663
15.6761555367;15.6685969766;17.2935443499;17.271757653
15.6762667233;15.6685804044;17.3087784769;17.3291403628
15.6764672147;15.668918613;17.3268311035;17.3484863001
15.6766012283;15.6690340892;17.3651578798;17.3616393424
15.677030839;15.6691767007;17.3827320861;17.3978438775
15.6769431595;15.6693907218;17.3990862056;17.4080496787
15.6769698035;15.6693281179;17.3974711262;17.4407220144
15.6771200113;15.6694750378;17.4276327475;17.447076455
15.6774356954;15.6695959939;17.4624394369;17.4690856009
15.6775346561;15.6693968443;17.4942376228;17.4742365268
15.6775842404;15.6694859033;17.508051455;17.4971511338
15.6777445767;15.6694567271;17.5231702003;17.5128613001
15.6779263039;15.6695280423;17.5446551587;17.5468794029
15.6779184807;15.6696372071;17.5647028722;17.565882483
15.6780431973;15.6696924225;17.5820417044;17.5831581255
15.6781313303;15.6697651549;17.5943026644;17.6188112056
15.6784202003;15.6697785714;17.6194031935;17.6204884921
15.678327551;15.6698590892;17.6516918367;17.6253849773
15.6783877551;15.6698457861;17.6608353741;17.6726772676
15.678331935;15.6699057256;17.704650718;17.6792063681
15.6783710128;15.6698623772;17.7019029478;17.7091838057
15.6784610733;15.669996712;17.7355489607;17.7361766251
15.6784787037;15.6700246599;17.7343248677;17.7380813681
15.6785521353;15.6700556878;17.7562143802;17.7601751134
15.6784885487;15.6700677816;17.7756825775;17.7983291383
15.6785809902;15.6700897392;17.8006015117;17.8125793462
15.6786260582;15.6700788171;17.8215045162;17.8251392668
15.6786092593;15.6701186319;17.8293558579;17.8327946901
