OW_k4_sequentialInit_1h6m29s.txt;OW_k8_randomInit_1h6m30s.txt;OW_k8_sequentialInit_1h6m33s.txt;OW_k4_randomInit_1h6m27s.txt
96.3529411765;82.7127176471;96.3529411765;84.3056705882
101.470588235;83.6900823529;101.470588235;84.5199294118
100.176470588;83.2523058824;100.176470588;84.8512588235
99.7647058824;82.1783764706;99.7647058824;84.5701294118
78.5882352941;83.5308470588;109.882352941;72.7647058824
82.8235294118;82.9304941176;107.588235294;72.7647058824
78.5882352941;82.7348470588;104.470588235;72.7647058824
78.5882352941;82.2571529412;92.1176470588;72.7647058824
78.5882352941;75.2561176471;88.9411764706;76.9504
78.5882352941;77.9340588235;96.3529411765;72.7647058824
78.5882352941;71.5511529412;86.8235294118;72.7647058824
78.5882352941;71.4185529412;83.8235294118;72.7647058824
78.5882352941;71.5511529412;83.8235294118;72.7647058824
78.5882352941;70.1173294118;83.8235294118;72.7647058824
78.5882352941;70.0004705882;83.8235294118;73.0327529412
78.5882352941;69.3757176471;83.8235294118;72.7647058824
78.5882352941;69.3757176471;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2343058824;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2343058824;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2764352941;83.8235294118;72.7647058824
78.5882352941;69.2343058824;83.8235294118;73.3029764706
78.5882352941;69.2684235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2522;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2343058824;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2535058824;83.8235294118;72.7647058824
78.5882352941;69.3222235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2482;83.8235294118;72.7647058824
78.5882352941;69.2490941176;83.8235294118;72.7647058824
78.5882352941;69.2358588235;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;73.0885647059
78.5882352941;69.2338;83.8235294118;72.7647058824
78.5882352941;69.3260235294;83.8235294118;72.7647058824
78.5882352941;69.2364235294;83.8235294118;72.7647058824
78.5882352941;69.2343058824;83.8235294118;72.7647058824
78.5882352941;69.2066823529;83.8235294118;72.7647058824
78.5882352941;69.1475411765;83.8235294118;72.8206117647
78.5882352941;69.1580823529;83.8235294118;72.9155882353
78.5882352941;69.1599058824;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1427882353;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1475411765;83.8235294118;72.8239647059
78.5882352941;69.1500235294;83.8235294118;72.8455647059
78.5882352941;69.1500235294;83.8235294118;72.8049058824
78.5882352941;69.1500235294;83.8235294118;72.8273882353
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1500235294;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.8739764706
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7936117647
78.5882352941;69.1223529412;83.8235294118;72.8019764706
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7833411765
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.8345411765
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
78.5882352941;69.1223529412;83.8235294118;72.7647058824
