OW_k4_discount0.95_sequentialInit_1h7m53s.txt;OW_k4_discount0.8_randomInit_1h8m20s.txt;OW_k8_discount0.95_randomInit_1h8m2s.txt;OW_k4_discount0.99_randomInit_1h7m9s.txt;OW_k8_discount1.0_randomInit_1h6m51s.txt;OW_k4_discount1.0_sequentialInit_1h6m43s.txt;OW_k8_discount0.99_randomInit_1h7m26s.txt;OW_k8_discount0.95_sequentialInit_1h8m11s.txt;OW_k4_discount0.8_sequentialInit_1h8m29s.txt;OW_k8_discount0.99_sequentialInit_1h7m36s.txt;OW_k4_discount1.0_randomInit_1h6m35s.txt;OW_k4_discount0.95_randomInit_1h7m45s.txt;OW_k8_discount0.8_randomInit_1h8m38s.txt;OW_k4_discount0.99_sequentialInit_1h7m18s.txt;OW_k8_discount0.8_sequentialInit_1h8m47s.txt;OW_k8_discount1.0_sequentialInit_1h7m0s.txt
96.3529411765;84.0602352941;83.0660588235;84.0012470588;83.5985647059;96.3529411765;83.1229176471;96.3529411765;96.3529411765;96.3529411765;83.9757529412;85.0549294118;83.7619176471;96.3529411765;96.3529411765;96.3529411765
101.470588235;85.6416705882;83.2684823529;85.1660705882;82.4963647059;101.470588235;83.0594823529;101.470588235;101.470588235;101.470588235;85.2754588235;84.1167764706;83.0781764706;101.470588235;101.470588235;101.470588235
100.176470588;84.6727647059;82.7950117647;84.5383294118;83.4121294118;100.176470588;81.8487882353;100.176470588;100.176470588;100.176470588;84.0110823529;84.9427882353;82.4102352941;100.176470588;100.176470588;100.176470588
99.7647058824;83.8506235294;83.3376823529;84.5320470588;82.5299411765;99.7647058824;83.5028352941;99.7647058824;99.7647058824;99.7647058824;85.0642941176;84.1739529412;83.3444941176;99.7647058824;99.7647058824;99.7647058824
78.5882352941;72.7647058824;82.8062117647;72.7647058824;83.0613294118;78.5882352941;83.0785529412;109.882352941;78.5882352941;109.882352941;72.7647058824;72.7647058824;83.6392705882;78.5882352941;109.882352941;109.882352941
82.8235294118;72.7717647059;83.5821176471;72.7647058824;83.0383647059;82.8235294118;82.8538117647;107.588235294;82.8235294118;107.588235294;72.7647058824;72.7647058824;82.5454235294;82.8235294118;107.588235294;107.588235294
78.5882352941;78.7717647059;81.63;72.7647058824;82.7931411765;78.5882352941;83.3520588235;104.470588235;78.5882352941;104.470588235;73.1094588235;73.7129411765;82.5013176471;78.5882352941;104.470588235;104.470588235
78.5882352941;72.7647058824;82.969;79.8235294118;82.5907529412;78.5882352941;82.5838823529;92.1176470588;78.5882352941;92.1176470588;72.7647058824;72.7647058824;82.0042235294;78.5882352941;92.1176470588;92.1176470588
78.5882352941;75.2399176471;74.5809294118;72.7647058824;76.0107176471;78.5882352941;75.6517529412;88.9411764706;78.5882352941;88.9411764706;74.4651294118;73.3635764706;78.7220470588;78.5882352941;79.7647058824;88.9411764706
78.5882352941;72.7647058824;76.0595882353;72.7647058824;75.2827411765;78.5882352941;75.9904470588;96.8235294118;78.5882352941;96.8235294118;72.7647058824;72.7647058824;89.5344941176;78.5882352941;77.4117647059;96.8235294118
78.5882352941;72.2312235294;73.2319647059;72.7647058824;71.5082823529;78.5882352941;71.7884705882;87.2941176471;78.5882352941;87.2941176471;72.7647058824;73.2911058824;80.9893411765;78.5882352941;77.4117647059;87.2941176471
78.5882352941;71.2282;72.7389764706;73.1543176471;74.8561058824;78.5882352941;74.3695058824;87.1176470588;78.5882352941;87.1176470588;73.1013647059;72.7647058824;74.3713647059;78.5882352941;79.2941176471;87.1176470588
78.5882352941;70.2008117647;79.9813176471;72.7647058824;71.9628941176;78.5882352941;75.6496941176;83.7647058824;78.5882352941;83.7647058824;72.7647058824;72.8655058824;73.8236588235;78.5882352941;79.7647058824;83.7647058824
78.5882352941;71.5223294118;78.1174470588;72.7647058824;74.6939529412;78.5882352941;71.6223058824;80.4705882353;78.5882352941;83.7647058824;72.7647058824;73.7746823529;71.3780117647;78.5882352941;79.7647058824;83.7647058824
78.5882352941;70.0427294118;70.2812470588;74.6423176471;69.2198117647;78.5882352941;71.3315882353;80.4705882353;78.5882352941;80.4705882353;72.7647058824;72.7647058824;69.7326117647;78.5882352941;90.3529411765;80.4705882353
78.5882352941;72.3147294118;69.4975764706;72.7647058824;69.1614705882;78.5882352941;70.1818117647;80.4705882353;78.5882352941;80.4705882353;72.7647058824;74.8611764706;68.8688117647;78.5882352941;86.1176470588;80.4705882353
78.5882352941;81.5508823529;69.4975764706;72.7647058824;68.5321411765;78.5882352941;69.0866235294;80.4705882353;92.4705882353;80.4705882353;73.0097882353;72.7647058824;68.9612705882;78.5882352941;81.1764705882;80.4705882353
78.5882352941;70.9085764706;69.4519764706;72.8697058824;68.5321411765;78.5882352941;69.0890117647;80.4705882353;84.2352941176;80.4705882353;72.8655058824;72.7647058824;69.4256352941;78.5882352941;99.8823529412;80.4705882353
78.5882352941;70.3895176471;69.2678588235;73.0955882353;68.5321411765;78.5882352941;68.2288705882;80.4705882353;72.7647058824;80.4705882353;73.0611764706;72.7647058824;71.0227764706;78.5882352941;94.8235294118;80.4705882353
78.5882352941;72.0735411765;69.1811647059;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;72.7647058824;80.4705882353;72.7936117647;72.9702588235;72.7313529412;78.5882352941;109.764705882;80.4705882353
78.5882352941;71.3452823529;69.0513176471;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;72.7647058824;80.4705882353;74.0985058824;73.1811411765;74.0373882353;78.5882352941;104.294117647;80.4705882353
78.5882352941;74.3300823529;69.0571058824;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;80.1764705882;80.4705882353;72.7647058824;73.3709176471;75.9577529412;78.5882352941;85.6470588235;80.4705882353
78.5882352941;78.4444941176;69.4387176471;72.7647058824;68.5321411765;78.5882352941;68.2288705882;80.4705882353;88.2941176471;80.4705882353;72.7883882353;72.9932352941;76.0766941176;78.5882352941;90.2941176471;80.4705882353
78.5882352941;73.5279764706;69.3563176471;72.7647058824;68.5273411765;78.5882352941;68.2288705882;80.4705882353;80.0588235294;80.4705882353;72.9760117647;73.6201529412;80.6052;78.5882352941;102.823529412;80.4705882353
78.5882352941;77.6098235294;68.9705411765;72.7647058824;68.5102235294;78.5882352941;67.9525411765;80.4705882353;79.1176470588;80.4705882353;72.7647058824;70.0825411765;80.6090235294;78.5882352941;107.176470588;80.4705882353
78.5882352941;75.2417882353;68.9271176471;72.7647058824;68.5137882353;78.5882352941;67.9525411765;80.4705882353;90.4117647059;80.4705882353;72.8200470588;70.1681882353;79.2776352941;78.5882352941;74.6470588235;80.4705882353
78.5882352941;70.3467411765;70.3531647059;72.7647058824;68.4936470588;78.5882352941;67.9525411765;80.4705882353;83.7058823529;80.4705882353;72.7573647059;70.1294117647;77.522;78.5882352941;84.2941176471;80.4705882353
78.5882352941;73.8867882353;69.4401058824;72.7647058824;68.4915764706;78.5882352941;67.9525411765;80.4705882353;80.5294117647;80.4705882353;72.7647058824;70.0760470588;75.0107882353;78.5882352941;87.1176470588;80.4705882353
78.5882352941;72.5525647059;69.2704588235;72.7647058824;68.4947882353;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0449882353;73.2034470588;78.5882352941;92.6470588235;80.4705882353
78.5882352941;72.8989529412;69.8736588235;73.2189764706;68.496;78.5882352941;67.9525411765;80.4705882353;79.8235294118;80.4705882353;72.7647058824;71.6062235294;78.9247058824;78.5882352941;83.4705882353;80.4705882353
78.5882352941;70.3183294118;69.8054117647;72.9552941176;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0305882353;73.8902352941;78.5882352941;84.8823529412;80.4705882353
78.5882352941;70.6730823529;69.5935647059;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.1495529412;71.5402235294;78.5882352941;119.294117647;80.4705882353
82.8235294118;70.5596352941;70.6819411765;72.7647058824;68.4925764706;78.5882352941;67.9514705882;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0305882353;70.0375647059;78.5882352941;73.7058823529;80.4705882353
78.5882352941;72.4635529412;71.0548470588;72.7647058824;68.496;78.5882352941;67.9504705882;80.4705882353;72.7647058824;80.4705882353;72.7573647059;70.0305882353;70.0856823529;78.5882352941;73.7058823529;80.4705882353
78.5882352941;70.1890823529;70.3935647059;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.0305882353;71.3173058824;78.5882352941;88.7647058824;80.4705882353
78.5882352941;74.2332470588;70.7708823529;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;84.2352941176;80.4705882353;72.9627411765;70.0233411765;70.8962117647;78.5882352941;82.4117647059;80.4705882353
78.5882352941;73.8461176471;68.9980117647;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;80.1764705882;80.4705882353;72.9479176471;70.2190117647;72.0175647059;78.5882352941;79.8235294118;80.4705882353
78.5882352941;78.0193764706;69.6069411765;72.7647058824;68.496;78.5882352941;67.9525411765;92.1176470588;79.5882352941;80.4705882353;72.9406117647;70.0305882353;71.9871294118;78.5882352941;77.7058823529;80.4705882353
78.5882352941;73.3813176471;68.2505764706;73.2480941176;68.496;78.5882352941;67.9525411765;80.4705882353;80.5294117647;80.4705882353;72.7647058824;70.5325764706;78.4119647059;78.5882352941;92.0588235294;80.4705882353
78.5882352941;72.4814705882;68.1443529412;72.9855058824;68.496;78.5882352941;67.9525411765;80.4705882353;78.5882352941;80.4705882353;72.7856;70.6522117647;75.0562352941;78.5882352941;80.0588235294;80.4705882353
78.5882352941;78.4222352941;68.0466941176;72.7647058824;68.496;78.5882352941;67.9454470588;80.4705882353;80.0588235294;80.4705882353;72.7593411765;70.2571294118;75.0848705882;78.5882352941;79.5882352941;80.4705882353
78.5882352941;74.2094588235;68.0707882353;72.7647058824;68.496;78.5882352941;67.9471764706;80.4705882353;83.1176470588;80.4705882353;72.7734588235;70.0360470588;73.3410588235;78.5882352941;80.5294117647;80.4705882353
78.5882352941;75.6496941176;68.2535058824;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7576470588;70.6479647059;71.5239411765;78.5882352941;81.0;80.4705882353
78.5882352941;73.2670941176;68.0921058824;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.8040470588;70.8097058824;77.3969529412;78.5882352941;96.7058823529;80.4705882353
78.5882352941;72.1922823529;68.7141294118;73.2480941176;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.2190117647;76.5667882353;78.5882352941;86.4117647059;80.4705882353
78.5882352941;73.6004352941;68.4995882353;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;79.8235294118;80.4705882353;72.8271058824;70.2190117647;81.9099176471;78.5882352941;82.4117647059;80.4705882353
78.5882352941;71.8325294118;68.2627647059;72.9552941176;68.496;78.5882352941;67.9525411765;80.4705882353;72.7647058824;80.4705882353;72.7647058824;70.2190117647;77.3560470588;78.5882352941;99.7647058824;80.4705882353
78.5882352941;70.0475176471;68.3565647059;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;90.4117647059;80.4705882353;72.7647058824;70.2554352941;75.9233294118;78.5882352941;98.5882352941;80.4705882353
78.5882352941;70.2354;67.9353294118;72.7647058824;68.496;78.5882352941;67.9525411765;80.4705882353;83.7058823529;80.4705882353;72.7647058824;71.0020352941;72.2969764706;78.5882352941;94.6470588235;80.4705882353
78.5882352941;70.3129176471;68.4412352941;72.7647058824;68.496;78.5882352941;67.9525411765;79.7647058824;80.5294117647;80.4705882353;72.7647058824;70.2190117647;75.8931058824;78.5882352941;90.2352941176;80.4705882353
82.1176470588;73.2781764706;67.9776941176;72.7647058824;68.4035294118;78.5882352941;67.9525411765;77.8823529412;89.5294117647;80.4705882353;72.7647058824;71.9464470588;73.5802117647;78.5882352941;97.3529411765;80.4705882353
78.5882352941;73.0532705882;67.9780823529;72.7647058824;68.4035294118;78.5882352941;67.9525411765;86.8235294118;78.5882352941;80.4705882353;72.7647058824;70.8662588235;75.5464588235;78.5882352941;95.0;80.4705882353
88.2352941176;71.7366941176;68.3207294118;72.7647058824;68.4035294118;78.5882352941;67.9525411765;83.0588235294;80.5294117647;80.4705882353;72.7791058824;70.2190117647;72.8947764706;78.5882352941;93.1764705882;80.4705882353
78.5882352941;70.5121529412;68.5582352941;72.9932352941;68.4011764706;78.5882352941;67.9525411765;87.5294117647;85.9411764706;80.4705882353;72.7647058824;70.5656470588;72.7245529412;78.5882352941;79.5882352941;80.4705882353
78.5882352941;71.6249529412;68.8420352941;73.4361411765;68.4035294118;78.5882352941;67.9525411765;79.7647058824;72.7647058824;80.4705882353;72.7647058824;70.7294117647;72.0036588235;78.5882352941;80.0588235294;80.4705882353
78.5882352941;73.3224352941;68.8828117647;72.7647058824;68.4035294118;78.5882352941;67.9097176471;79.7647058824;72.7647058824;80.4705882353;72.7647058824;73.5959176471;73.6632823529;78.5882352941;72.7647058824;80.4705882353
78.5882352941;76.7181294118;68.4750941176;72.7647058824;68.4035294118;78.5882352941;67.7759529412;79.7647058824;72.7647058824;80.4705882353;72.7647058824;73.9029647059;72.2830941176;78.5882352941;79.8235294118;80.4705882353
72.7647058824;79.3023058824;68.4912588235;70.0210117647;68.4035294118;78.5882352941;67.7615764706;79.7647058824;80.0588235294;80.4705882353;72.7647058824;70.4732235294;73.2515647059;78.5882352941;90.1764705882;80.4705882353
72.7647058824;93.5086117647;68.7199529412;70.0210117647;68.4035294118;78.5882352941;67.7759529412;77.8823529412;98.1764705882;80.4705882353;72.7574588235;70.4937411765;72.2478235294;78.5882352941;79.1176470588;80.4705882353
72.7647058824;73.4312470588;68.4362117647;70.0210117647;68.4035294118;78.5882352941;67.7759529412;84.7058823529;72.7647058824;80.4705882353;72.76;73.4362352941;71.2615411765;78.5882352941;76.0588235294;80.4705882353
72.7647058824;71.0156823529;68.408;70.0210117647;68.4035294118;78.5882352941;67.7759529412;79.7647058824;72.7647058824;80.4705882353;72.7573647059;70.2010352941;70.2355176471;78.5882352941;93.4117647059;80.4705882353
72.7647058824;70.3099764706;69.1608823529;70.0210117647;68.4035294118;78.5882352941;67.7759529412;91.5294117647;79.8235294118;80.4705882353;72.7647058824;71.1119764706;73.7901176471;78.5882352941;72.7647058824;80.4705882353
72.7647058824;70.5475176471;69.7534470588;70.0210117647;68.4035294118;78.5882352941;67.7037882353;86.1176470588;72.7647058824;80.4705882353;72.7856;71.5701647059;75.4329058824;78.5882352941;72.7647058824;80.4705882353
72.7647058824;73.4775882353;69.9338352941;70.0210117647;68.4035294118;78.5882352941;67.7160235294;77.1764705882;72.7647058824;80.4705882353;72.7647058824;70.4643764706;74.7438588235;78.5882352941;82.4117647059;80.4705882353
72.7647058824;71.4504470588;70.2710823529;70.0210117647;68.4035294118;78.5882352941;67.7047764706;88.0;72.7647058824;80.4705882353;72.7647058824;69.8282705882;74.8398823529;78.5882352941;82.4117647059;80.4705882353
72.7647058824;73.0699294118;71.1996588235;70.0210117647;68.4035294118;78.5882352941;67.6771058824;77.1764705882;72.7647058824;80.4705882353;72.7647058824;69.7537294118;72.4251764706;78.5882352941;98.5882352941;80.4705882353
72.7647058824;71.9062705882;70.7484;70.0210117647;68.4035294118;78.5882352941;67.6771058824;77.1764705882;72.7647058824;80.4705882353;72.7734588235;69.7903529412;73.7997411765;78.5882352941;72.7647058824;80.4705882353
79.8235294118;71.4368705882;70.0843176471;70.0210117647;68.4035294118;78.5882352941;67.6771058824;84.7058823529;72.7647058824;80.4705882353;72.7647058824;70.2687411765;77.3116705882;78.5882352941;86.4117647059;80.4705882353
72.7647058824;71.0343529412;70.4074588235;70.0210117647;68.4035294118;78.5882352941;67.6537882353;101.764705882;78.5882352941;80.4705882353;72.7647058824;69.7537294118;78.7360823529;78.5882352941;72.7647058824;80.4705882353
80.5294117647;73.5128823529;70.1576588235;70.0210117647;68.4011764706;78.5882352941;67.6537882353;77.1764705882;87.0;80.4705882353;72.7574588235;69.8101294118;77.6526823529;78.5882352941;123.294117647;80.4705882353
72.7647058824;71.3489529412;70.0369058824;70.0210117647;68.4035294118;78.5882352941;67.6537882353;77.1764705882;101.352941176;80.4705882353;72.7686588235;69.8400470588;76.3770470588;78.5882352941;95.4705882353;80.4705882353
72.7647058824;70.1623647059;70.0491058824;70.0210117647;68.4035294118;78.5882352941;67.6537882353;77.1764705882;79.1176470588;80.4705882353;72.7574588235;71.7392235294;75.1165294118;78.5882352941;92.1176470588;80.4705882353
72.7647058824;70.4352823529;69.1665058824;70.0210117647;68.4035294118;78.5882352941;67.6537882353;77.1764705882;85.6470588235;80.4705882353;72.7647058824;70.4412823529;71.9455058824;78.5882352941;114.294117647;80.4705882353
72.7647058824;73.6262823529;70.7322;70.0210117647;68.4035294118;78.5882352941;67.6537882353;77.1764705882;80.0588235294;80.4705882353;72.9471058824;71.4087529412;71.3189647059;78.5882352941;107.823529412;80.4705882353
72.7647058824;76.2853764706;70.4036;70.0210117647;68.4035294118;78.5882352941;67.6537882353;84.2352941176;72.7647058824;80.4705882353;72.7647058824;70.8635764706;71.5971176471;78.5882352941;83.0;80.4705882353
72.7647058824;72.0045882353;69.4585647059;70.0210117647;68.4035294118;78.5882352941;67.6537882353;88.7058823529;72.7647058824;80.4705882353;72.7647058824;71.3110235294;70.4922235294;78.5882352941;92.3529411765;80.4705882353
93.4705882353;77.7322470588;68.8163647059;70.0210117647;68.4035294118;78.5882352941;67.5976;90.1176470588;72.7647058824;80.4705882353;72.7647058824;70.9778235294;70.5427411765;78.5882352941;84.2352941176;80.4705882353
80.1764705882;75.1839294118;71.0816;70.0210117647;68.4035294118;78.5882352941;67.5744470588;99.7647058824;79.8235294118;80.4705882353;72.7647058824;71.0523058824;69.7807647059;78.5882352941;77.8823529412;80.4705882353
72.7647058824;75.0910705882;72.7927176471;70.0210117647;68.4200823529;78.5882352941;67.5594823529;87.2352941176;72.7647058824;80.4705882353;72.7574588235;73.7224117647;71.1055882353;78.5882352941;77.8823529412;80.4705882353
72.7647058824;75.3522352941;70.7894117647;70.0210117647;68.4035294118;78.5882352941;67.5594823529;90.1764705882;80.5294117647;80.4705882353;72.7647058824;72.7060705882;70.611;78.5882352941;85.6470588235;80.4705882353
72.7647058824;71.6108117647;70.6778588235;70.1260117647;68.4035294118;78.5882352941;67.5594823529;90.5882352941;72.7647058824;80.4705882353;72.7647058824;72.6348235294;75.4087058824;82.8235294118;93.4117647059;80.4705882353
72.7647058824;72.6107529412;72.2014941176;70.0210117647;68.4035294118;78.5882352941;67.5594823529;85.6470588235;79.1176470588;80.4705882353;72.7647058824;70.6345882353;72.4814941176;78.5882352941;95.2941176471;80.4705882353
72.7647058824;75.8881529412;70.7076;70.0210117647;68.4035294118;78.5882352941;67.9504;77.1764705882;72.7647058824;80.4705882353;72.7574588235;71.1794;72.5007529412;78.5882352941;91.7647058824;80.4705882353
99.7647058824;86.8956705882;70.5536470588;70.0210117647;68.4035294118;78.5882352941;67.6909882353;91.5294117647;72.7647058824;80.4705882353;72.7647058824;69.8681294118;73.3803882353;78.5882352941;87.5294117647;80.4705882353
72.7647058824;73.3383882353;69.9943647059;70.0210117647;68.4023176471;78.5882352941;67.6105411765;77.1764705882;78.5882352941;80.4705882353;72.7647058824;70.3090823529;74.4447176471;78.5882352941;92.5882352941;80.4705882353
79.1176470588;70.3238941176;69.3218705882;70.4106235294;68.4011764706;78.5882352941;67.8441882353;77.1764705882;79.5882352941;80.4705882353;72.7647058824;70.1290588235;73.5688470588;78.5882352941;88.1764705882;80.4705882353
72.7647058824;71.0956941176;68.6883529412;70.0210117647;68.4035294118;78.5882352941;67.6105411765;94.8235294118;80.1764705882;80.4705882353;72.8812235294;69.8844235294;74.3615882353;78.5882352941;97.0588235294;80.4705882353
72.7647058824;71.5137294118;67.8359647059;70.0210117647;68.4035294118;78.5882352941;67.5492;102.235294118;77.8823529412;80.4705882353;72.7647058824;70.1157764706;75.3530470588;78.5882352941;83.9411764706;80.4705882353
72.7647058824;72.0298588235;67.7821176471;70.0210117647;68.4035294118;78.5882352941;67.6437176471;78.2352941176;80.5294117647;80.4705882353;72.7574588235;69.7446235294;74.7569647059;78.5882352941;72.7647058824;80.4705882353
72.7647058824;73.0170470588;69.5828705882;70.0210117647;68.4035294118;78.5882352941;67.6208470588;78.2352941176;79.1176470588;80.4705882353;72.9154;73.6746941176;78.1885764706;78.5882352941;72.7647058824;80.4705882353
72.7647058824;73.5689294118;69.7959294118;70.0210117647;68.4035294118;78.5882352941;67.5470823529;78.2352941176;80.0588235294;80.4705882353;72.7647058824;69.8965294118;77.5525529412;78.5882352941;86.4117647059;80.4705882353
72.7647058824;77.7873294118;69.0628941176;70.0210117647;68.4035294118;78.5882352941;67.7616352941;84.2352941176;80.5294117647;80.4705882353;73.2345058824;71.9607529412;79.9480117647;78.5882352941;80.5294117647;80.4705882353
72.7647058824;74.7098941176;69.0321294118;70.0210117647;68.4035294118;78.5882352941;67.6510941176;88.5882352941;72.7647058824;80.4705882353;72.7647058824;69.6709882353;76.4668941176;78.5882352941;73.7058823529;80.4705882353
72.7647058824;74.7459176471;68.7704;70.0210117647;68.4035294118;78.5882352941;67.7397529412;78.2352941176;79.8235294118;80.4705882353;72.7647058824;69.9344352941;71.8112823529;78.5882352941;92.4117647059;80.4705882353
72.7647058824;77.0720352941;69.3193176471;70.0210117647;68.4035294118;78.5882352941;67.6510941176;78.2352941176;72.7647058824;80.4705882353;72.8394941176;71.2482823529;70.0660705882;78.5882352941;90.7647058824;80.4705882353
72.7647058824;71.2153294118;70.5495647059;70.0210117647;68.4035294118;78.5882352941;67.6596705882;99.4117647059;90.4117647059;80.4705882353;72.7647058824;70.3923411765;71.3399882353;78.5882352941;123.294117647;80.4705882353
83.7058823529;71.4111882353;69.4037529412;70.0210117647;68.4035294118;78.5882352941;67.6852;86.1176470588;95.7058823529;80.4705882353;72.7574588235;71.1743411765;72.7548235294;78.5882352941;94.1176470588;80.4705882353
72.7647058824;73.0136823529;68.4288588235;70.0210117647;68.4035294118;78.5882352941;67.6286117647;82.2941176471;80.5294117647;80.4705882353;72.7647058824;69.9496;71.6666470588;78.5882352941;126.647058824;80.4705882353
72.7647058824;70.8279058824;70.1268588235;70.0210117647;68.4035294118;78.5882352941;67.5819176471;84.9411764706;90.2352941176;80.4705882353;72.7647058824;69.9437176471;72.1316117647;78.5882352941;83.7058823529;80.4705882353
79.1176470588;70.4134470588;70.7612117647;70.0210117647;68.3991058824;78.5882352941;67.6169294118;78.2352941176;77.8823529412;80.4705882353;72.7574588235;71.3961529412;72.8792235294;78.5882352941;87.7647058824;80.4705882353
