Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h46m41s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h55m44s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h46m19s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h48m26s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h47m4s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h51m51s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h56m53s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h56m29s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h58m52s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h54m56s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h58m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h47m53s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h49m32s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h54m33s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h54m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h57m18s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h51m17s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h53m40s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h47m26s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h56m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h50m42s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h52m54s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h58m30s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h53m17s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h52m24s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h57m42s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h59m15s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h55m20s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h50m6s.txt;Braess_1_4200_10_c1_k3_discount0.8_randomInit_20h48m59s.txt
15.5200776644;15.5281780045;15.5660980726;15.5462726757;15.5796247165;15.5508321995;15.5486422902;15.55330839;15.6150663265;15.5212562358;15.5584546485;15.5524654195;15.5240663265;15.6409529478;15.5152743764;15.5554223356;15.6011473923;15.5484994331;15.5602040816;15.5447035147;15.5658866213;15.5655175737;15.5865770975;15.5608803855;15.5760770975;15.5987624716;15.502409297;15.5561995465;15.5458100907;15.5872477324
15.5875651927;15.5736530612;15.5422505669;15.605861678;15.5360164399;15.5809552154;15.5893679138;15.5784155329;15.5367437642;15.5736530612;15.539696712;15.5482930839;15.5793361678;15.5005351474;15.5937556689;15.5983701814;15.5044903628;15.5467811791;15.5301502267;15.5879688209;15.5637080499;15.5470929705;15.5708622449;15.5519824263;15.5234926304;15.5533837868;15.561159297;15.5778100907;15.5512573696;15.5229081633
15.5620147392;15.5693344671;15.5613905896;15.5185447846;15.5517715419;15.5453066893;15.5322630385;15.549005102;15.5176196145;15.574106576;15.5724722222;15.5715702948;15.5672222222;15.5333021542;15.5595334467;15.519739229;15.5692545351;15.5735447846;15.5790821995;15.5415839002;15.5425062358;15.556356576;15.5113407029;15.555845805;15.5704019274;15.5176712018;15.6073611111;15.5462726757;15.5707397959;15.5630232426
20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;15.00019161;15.0004535147;15.0016371882;15.0003276644;15.002399093;15.0001632653;15.0013888889;15.000409297;15.0007664399;15.0053979592;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;15.0036836735;15.0012346939;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;15.5227222222;15.0004535147;15.0016371882;15.5539693878;15.6275918367;15.6141678004;15.0013888889;15.000409297;15.0007664399;15.6158378685;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;15.6600555555;15.6309705215;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;20.0;15.0004535147;15.0016371882;20.0;20.0;20.0;15.0013888889;15.000409297;15.0007664399;20.0;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;20.0;20.0;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;18.5717828798;15.0004535147;15.0016371882;20.0;18.5163951247;18.5485260771;15.0013888889;15.000409297;15.0007664399;17.754478458;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;17.7285856009;18.524;15.000409297;15.0053979592
15.0005997732;15.003814059;15.0005487528;15.0021950113;15.0015521542;15.0106678004;15.0015521542;20.0;15.0004535147;15.0016371882;20.0;20.0;20.0;15.0013888889;15.000409297;15.0007664399;20.0;15.0008265306;15.0014693877;15.0002222222;15.0031848073;15.0010204082;15.0000918367;15.0008888889;15.0009535147;15.0010895692;20.0;20.0;15.000409297;15.0053979592
15.0005997732;15.2480980726;15.0005487528;15.2354790249;15.0015521542;16.0554024943;15.2358871882;15.528899093;15.2471655329;15.0016371882;17.2797324263;15.4658514739;15.4586122449;16.0492205215;15.000409297;15.2671609977;15.0000045351;15.0008265306;15.0014693877;15.0002222222;15.2294586168;15.0010204082;15.2484835601;15.0008888889;15.0009535147;15.2356558957;15.0057154195;15.4514297052;15.000409297;16.0024631519
20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.528899093;20.0;20.0;20.0;15.4658514739;15.4586122449;20.0;20.0;20.0;15.0000045351;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;15.0057154195;15.4514297052;20.0;20.0
15.0005997732;15.4923820862;15.0005487528;15.4687630385;15.0015521542;17.1001371882;15.4702222222;20.0;15.493877551;15.0016371882;20.0;15.5796201814;15.6008888889;17.0970521542;15.000409297;15.5335555555;15.0000045351;15.0008265306;15.0014693877;15.0002222222;15.4557324263;15.0010204082;15.4968752834;15.0008888889;15.0009535147;15.4702222222;15.0057154195;15.5926632653;15.000409297;16.9995283447
15.0005997732;20.0;15.0005487528;20.0;15.0015521542;20.0;20.0;18.5717828798;20.0;15.0016371882;18.6398662131;15.4658514739;15.4586122449;20.0;15.000409297;20.0;15.5089569161;15.0008265306;15.0014693877;15.0002222222;20.0;15.0010204082;20.0;15.0008888889;15.0009535147;20.0;15.4571712018;15.4514297052;15.000409297;20.0
15.0005997732;20.0;15.0005487528;20.0;15.0015521542;20.0;20.0;18.623845805;20.0;15.0016371882;18.582723356;17.2285759637;17.1466848072;20.0;15.000409297;20.0;20.0;15.0008265306;15.0014693877;15.0002222222;20.0;15.0010204082;20.0;15.0008888889;15.0009535147;20.0;15.0036836735;17.1811439909;15.000409297;20.0
15.0005997732;17.5000362812;15.0005487528;17.5007346939;15.0015521542;18.5500685941;17.5004444444;17.7644495465;17.5023219955;15.0016371882;18.582723356;17.8137959184;17.8070839002;18.5485260771;15.000409297;17.5005447846;20.0;15.0008265306;15.0014693877;15.0002222222;17.5011479592;15.0010204082;17.5026213152;15.0008888889;15.0009535147;17.5026989796;20.0;17.8154852608;15.000409297;18.4997641723
15.0005997732;20.0;15.0005487528;20.0;15.0015521542;18.5500685941;20.0;18.5717828798;20.0;15.0016371882;17.7777777778;18.6142879818;18.5733424036;18.5485260771;15.000409297;20.0;20.0;15.0008265306;15.0014693877;15.0002222222;20.0;15.0010204082;20.0;15.0008888889;15.0009535147;20.0;18.623845805;18.5905719954;15.000409297;18.4997641723
15.0005997732;15.0000725624;15.0005487528;15.0014693877;15.0015521542;17.5053339002;15.0008888889;17.501;15.0046439909;15.0016371882;20.0;15.3149954648;15.3071655329;17.5006944444;15.000409297;15.0010895692;15.0000045351;15.0008265306;15.0014693877;15.0002222222;15.0022959184;15.0010204082;15.0052426304;15.0008888889;15.0009535147;15.0053979592;20.0;15.3161026077;15.000409297;17.5026989796
15.0005997732;15.0000725624;15.0005487528;15.0014693877;15.0015521542;20.0;15.0008888889;20.0;15.0046439909;15.0016371882;16.4176439909;16.2493208617;16.2778321995;20.0;15.000409297;15.0010895692;15.0000045351;15.0008265306;15.0014693877;15.0002222222;15.0022959184;15.0010204082;15.0052426304;15.0008888889;15.0009535147;15.0053979592;17.24769161;16.2497148526;15.000409297;20.0
17.7881910431;15.0000725624;18.6158781179;15.0014693877;17.785770975;15.0106678004;15.0008888889;15.4790249433;15.0046439909;17.810430839;18.582723356;17.5011995465;17.5000816326;15.0013888889;18.6608622449;15.0010895692;15.0000045351;17.8129529478;17.8020975057;18.5717828798;15.0022959184;17.7801638322;15.0052426304;17.7906213152;17.8121111111;15.0053979592;17.2032154195;17.5006173469;18.6174693877;15.0053979592
16.1273407029;17.1685816326;15.2933361678;15.0014693877;16.1551575964;15.0106678004;15.0008888889;15.002;15.0046439909;16.1087573696;17.7777777778;20.0;20.0;15.0013888889;15.2685402494;15.0010895692;15.0000045351;16.0862726757;16.1213900227;15.3097035147;15.0022959184;16.1548917233;15.0052426304;16.1306848072;16.0910487528;15.0053979592;17.24769161;20.0;15.2900147392;15.0053979592
16.1273407029;17.3805;15.2933361678;20.0;16.1551575964;15.0106678004;20.0;15.002;20.0;16.1087573696;20.0;15.6275918367;15.6141678004;15.0013888889;15.2685402494;20.0;20.0;16.0862726757;16.1213900227;15.3097035147;20.0;16.1548917233;20.0;16.1306848072;16.0910487528;20.0;17.7285856009;15.6309705215;15.2900147392;15.0053979592
18.6270408163;17.7849665533;15.2933361678;20.0;18.6543815193;15.4673061224;20.0;20.0;20.0;18.6079387755;20.0;15.5796201814;15.6008888889;15.5635204082;15.2685402494;20.0;20.0;18.5858594104;18.6206553288;15.3097035147;20.0;18.6543815193;20.0;18.6302403628;18.5905719954;20.0;18.6016077097;15.5926632653;15.2900147392;15.5603276644
20.0;18.69025;15.2933361678;20.0;20.0;15.2389869614;20.0;20.0;20.0;20.0;20.0;15.3149954648;15.3071655329;15.0013888889;15.2685402494;20.0;20.0;20.0;20.0;15.3097035147;20.0;20.0;20.0;20.0;20.0;20.0;17.5028577097;15.3161026077;15.2900147392;15.0053979592
17.5002998866;18.69025;17.7930617914;15.0014693877;17.5007760771;15.2389869614;15.0008888889;20.0;15.0046439909;17.5008185941;20.0;16.2493208617;16.2778321995;15.2824546485;17.7683356009;15.0010895692;15.0000045351;17.5004132653;17.5007346939;17.8095924036;15.0022959184;17.5005102041;15.0052426304;17.5004444444;17.5004767574;15.0053979592;18.623845805;16.2497148526;17.7898100907;15.2828628118
17.7881910431;17.803755102;20.0;15.0014693877;17.785770975;15.5645464853;15.0008888889;15.002;15.0046439909;17.810430839;18.582723356;18.6142879818;18.5733424036;15.2824546485;20.0;15.0010895692;15.0000045351;17.8129529478;17.8020975057;20.0;15.0022959184;17.7801638322;15.0052426304;17.7906213152;17.8121111111;15.0053979592;17.7793673469;18.5905719955;20.0;15.2828628118
20.0;20.0;17.5002743764;15.0014693877;20.0;17.7336530612;15.0008888889;15.002;15.0046439909;20.0;17.7777777778;18.5163951247;18.5485260771;17.7817602041;17.5002046485;15.0010895692;15.0000045351;20.0;20.0;17.5001111111;15.0022959184;20.0;15.0052426304;20.0;20.0;15.0053979592;17.7285856009;18.524;17.5002046485;17.7801638322
17.2540816326;17.3805;20.0;15.0014693877;17.3087630385;17.5003543084;15.0008888889;15.002;15.0046439909;17.215877551;20.0;18.5163951247;18.5485260771;17.5006944444;20.0;15.0010895692;15.0000045351;17.1717188209;17.2413106576;20.0;15.0022959184;17.3087630385;15.0052426304;17.2604807256;17.1811439909;15.0053979592;20.0;18.524;20.0;17.5026989796
17.7881910431;17.7849665533;15.0005487528;20.0;17.785770975;17.2141780045;20.0;15.002;20.0;17.810430839;17.2797324263;17.5011995465;17.5000816326;17.0970521542;15.000409297;20.0;20.0;17.8129529478;17.8020975057;15.0002222222;20.0;17.7801638322;20.0;17.7906213152;17.8121111111;20.0;15.6600555555;17.5006173469;15.000409297;16.9995283447
17.7881910431;17.7461910431;15.0005487528;20.0;17.785770975;15.2389869614;20.0;20.0;20.0;17.810430839;16.4176439909;20.0;20.0;18.5485260771;15.000409297;20.0;20.0;17.8129529478;17.8020975057;15.0002222222;20.0;17.7801638322;20.0;17.7906213152;17.8121111111;20.0;15.4571712018;20.0;15.000409297;18.4997641723
18.6270408163;18.69025;15.0005487528;20.0;18.6543815193;17.7336530612;20.0;20.0;20.0;18.6079387755;18.582723356;15.3149954648;15.3071655329;15.0013888889;17.3217244898;20.0;20.0;18.5858594104;18.6206553288;17.1435657596;20.0;18.6543815193;20.0;18.6302403628;18.5905719954;20.0;15.0057154195;15.3161026077;17.2349387755;20.0
18.6270408163;16.3692573696;18.6158781179;15.0014693877;18.6543815193;17.5053339002;15.0008888889;20.0;15.0046439909;18.6079387755;18.6398662131;15.6036060091;15.6075283447;15.2824546485;20.0;15.0010895692;15.0000045351;18.5858594104;18.6206553288;20.0;15.0022959184;18.6543815193;15.0052426304;18.6302403628;18.5905719955;15.0053979592;15.0057154195;15.6118168934;20.0;18.4997641723
17.7881910431;16.1902862812;18.6158781179;15.0014693877;17.785770975;20.0;15.0008888889;15.002;15.0046439909;20.0;16.3605011338;17.732925737;17.7293061224;15.2824546485;18.6608622449;15.0010895692;15.0000045351;20.0;20.0;17.8095924036;15.0022959184;17.7801638322;15.0052426304;17.7906213152;20.0;15.0053979592;15.4571712018;17.7257148526;17.7881910431;20.0
20.0;20.0;20.0;15.0014693877;20.0;15.0106678004;15.0008888889;15.002;15.0046439909;18.6079387755;18.582723356;17.732925737;17.7293061224;17.7817602041;18.6608622449;15.0010895692;15.0000045351;18.5858594104;18.6206553288;20.0;15.0022959184;20.0;15.0052426304;20.0;18.5905719955;15.0053979592;20.0;17.7257148526;17.756;16.9995283447
17.7881910431;20.0;15.5861235828;15.0014693877;17.785770975;15.4673061224;15.0008888889;15.002;15.0046439909;17.5008185941;18.582723356;20.0;20.0;16.0492205215;17.7683356009;15.0010895692;15.0000045351;17.5004132653;17.5007346939;17.1435657596;15.0022959184;17.7801638322;15.0052426304;17.7906213152;17.5004767574;15.0053979592;17.7793673469;20.0;16.4072794784;15.5603276644
17.7881910431;17.5000362812;15.0005487528;20.0;17.785770975;15.0106678004;20.0;15.002;20.0;20.0;17.7777777778;20.0;20.0;17.5006944444;20.0;20.0;20.0;20.0;20.0;20.0;20.0;17.7801638322;20.0;17.7906213152;20.0;20.0;20.0;20.0;17.7898100907;15.5603276644
20.0;20.0;15.0005487528;20.0;20.0;15.0106678004;20.0;20.0;20.0;15.620861678;18.582723356;20.0;20.0;16.3302862812;15.5366712018;20.0;20.0;15.6259058957;15.6041950113;16.0718939909;20.0;20.0;20.0;20.0;15.6242222222;20.0;15.4571712018;20.0;18.6174693877;15.2828628118
15.2884909297;15.5699331066;15.2933361678;20.0;15.2865470521;20.0;20.0;20.0;20.0;15.0016371882;18.6398662131;20.0;20.0;18.5485260771;15.5366712018;20.0;20.0;15.0008265306;15.0014693877;18.5717828798;20.0;15.2806740363;20.0;15.2910657596;15.0009535147;20.0;15.4571712018;20.0;15.2900147392;17.7801638322
15.2884909297;15.0000725624;15.2933361678;15.0014693877;15.2865470521;18.5500685941;15.0008888889;20.0;15.0046439909;15.0016371882;16.3605011338;17.732925737;17.7293061224;17.5006944444;18.6608622449;15.0010895692;15.0000045351;15.0008265306;15.0014693877;18.5717828798;15.0022959184;15.2806740363;15.0052426304;15.2910657596;15.0009535147;15.0053979592;15.3328854875;17.7257148526;15.2563265306;15.5603276644
15.2884909297;15.0000725624;18.6158781179;15.0014693877;15.2865470521;20.0;15.0008888889;15.002;15.0046439909;15.0016371882;18.6398662131;17.732925737;17.7293061224;17.7817602041;15.2685402494;15.0010895692;15.0000045351;15.0008265306;15.0014693877;20.0;15.0022959184;15.2806740363;15.0052426304;15.2910657596;15.0009535147;15.0053979592;17.7793673469;17.7257148526;15.2900147392;17.7801638322
18.6270408163;15.4923820862;17.7930617914;15.0014693877;18.6543815193;15.0106678004;15.0008888889;15.002;15.0046439909;15.620861678;20.0;20.0;20.0;17.0970521542;15.2685402494;15.0010895692;15.0000045351;15.6259058957;15.6041950113;17.1435657596;15.0022959184;18.6543815193;15.0052426304;18.6302403628;15.6242222222;15.0053979592;17.7793673469;20.0;18.6174693877;17.7801638322
18.6270408163;15.0000725624;16.1161524943;15.0014693877;18.6543815193;15.0106678004;15.0008888889;15.002;15.0046439909;15.0016371882;17.165446712;20.0;20.0;18.5485260771;17.7683356009;15.0010895692;15.0000045351;15.0008265306;15.0014693877;16.0718939909;15.0022959184;18.6543815193;15.0052426304;18.6302403628;15.0009535147;15.0053979592;20.0;20.0;20.0;17.7801638322
20.0;15.0000725624;18.6158781179;20.0;20.0;15.0106678004;20.0;15.002;20.0;15.3112494331;16.3605011338;20.0;20.0;17.5006944444;15.000409297;20.0;20.0;15.3133662131;15.3028321995;17.8095924036;20.0;20.0;20.0;20.0;15.3125878685;17.3022959184;15.0036836735;20.0;17.2349387755;20.0
15.5763820862;15.003814059;17.5002743764;20.0;15.5715419501;18.5500685941;20.0;20.0;20.0;18.6079387755;18.6398662131;20.0;20.0;17.5006944444;17.5002046485;20.0;20.0;18.5858594104;18.6206553288;20.0;20.0;15.5603276644;20.0;15.5812426304;18.5905719955;20.0;15.0057154195;20.0;15.000409297;15.5603276644
15.0005997732;15.0000725624;16.1161524943;20.0;15.0015521542;18.5500685941;20.0;20.0;20.0;17.810430839;18.582723356;17.732925737;17.7293061224;17.5006944444;18.6608622449;20.0;20.0;17.8129529478;17.8020975057;15.6191848073;20.0;15.0010204082;20.0;15.0008888889;17.8121111111;18.6511479592;15.0036836735;17.7257148526;15.000409297;15.5603276644
15.2884909297;17.5000362812;20.0;15.0014693877;15.2865470521;20.0;15.0008888889;20.0;15.0046439909;17.5008185941;16.4176439909;17.732925737;17.7293061224;20.0;17.3217244898;15.0010895692;15.0000045351;17.5004132653;17.5007346939;15.0002222222;15.0022959184;15.2806740363;15.0052426304;15.2910657596;17.5004767574;15.316494898;15.0057154195;17.7257148526;15.2900147392;18.4997641723
